file,mode,seq,omp,naive,cuda
brainq.tns,0,2.162743575,0.439413530,0.077167387,0.066971423
brainq.tns,1,2.144063990,1.070914107,0.163897084,0.147312631
brainq.tns,2,2.167898155,1.084815233,0.042252169,0.037729582
brainq.fixed.tns,0,0.120975747,0.039737083,0.006211179,0.005495521
brainq.fixed.tns,1,0.118373242,0.052151955,0.086107515,0.077435207
brainq.fixed.tns,2,0.121152315,0.045539970,0.005832361,0.005323606
nell2.tns,0,6.524309764,2.261458546,0.679343016,0.635609446
nell2.tns,1,6.457923560,2.149627348,0.633095200,0.597670959
nell2.tns,2,6.818939186,2.149662419,0.780706651,0.701616122
delicious.tns,0,14.744141097,4.180426375,1.105577844,1.109331484
delicious.tns,1,15.703965780,4.193176796,1.292327475,1.225681338
delicious.tns,2,13.371256363,3.927972464,0.842222758,0.793812899
nell1.tns,0,14.006814300,4.318436326,0.941967924,1.030846626
nell1.tns,1,13.505536967,4.234928459,0.869021863,0.967031232
nell1.tns,2,21.018605014,4.883384484,1.535009929,1.444894396
